ending1,ending2,labels,startphrase,instruction_column
Dia menyetir dan tahu arah jalan.,Dia menyetir dan tidak tahu arah jalan.,1,Dia meneyetir seakan-akan ia baru kemarin sore sampai di kota ini.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia meneyetir seakan-akan ia baru kemarin sore sampai di kota ini., Options: 0) Dia menyetir dan tahu arah jalan. 1) Dia menyetir dan tidak tahu arah jalan."
"Semenjak kau pergi, aku merasa kehilangan.","Semenjak kau pergi, aku merasa lebih baik.",0,"Semenjak kau pergi, hatiku seperti rumah yang ditinggal pemiliknya.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Semenjak kau pergi, hatiku seperti rumah yang ditinggal pemiliknya., Options: 0) Semenjak kau pergi, aku merasa kehilangan. 1) Semenjak kau pergi, aku merasa lebih baik."
"Semenjak kau pergi, aku merasa kehilangan.","Semenjak kau pergi, aku merasa lebih baik.",1,"Semenjak kau pergi, hatiku seperti rumah yang direnovasi.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Semenjak kau pergi, hatiku seperti rumah yang direnovasi., Options: 0) Semenjak kau pergi, aku merasa kehilangan. 1) Semenjak kau pergi, aku merasa lebih baik."
Dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh.,Dia mendengarkan nasehat dari ibunya dengan tidak fokus.,0,Dia mendengarkan nasehat dari ibunya seperti murid yang duduk di bangku paling depan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia mendengarkan nasehat dari ibunya seperti murid yang duduk di bangku paling depan., Options: 0) Dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh. 1) Dia mendengarkan nasehat dari ibunya dengan tidak fokus."
Dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh.,Dia mendengarkan nasehat dari ibunya dengan tidak fokus.,1,Dia mendengarkan nasehat dari ibunya seperti murid yang tidak sabar menunggu bel pulang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia mendengarkan nasehat dari ibunya seperti murid yang tidak sabar menunggu bel pulang., Options: 0) Dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh. 1) Dia mendengarkan nasehat dari ibunya dengan tidak fokus."
Laki-laki itu berpidato dengan sangat percaya diri.,Laki-laki itu berpidato dengan sangat  tidak percaya diri.,0,Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta., Options: 0) Laki-laki itu berpidato dengan sangat percaya diri. 1) Laki-laki itu berpidato dengan sangat  tidak percaya diri."
Laki-laki itu berpidato dengan sangat percaya diri.,Laki-laki itu berpidato dengan sangat  tidak percaya diri.,1,Laki-laki itu berpidato sekan-akan ia tidak memiliki apapun kecuali yang melekat di badannya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Laki-laki itu berpidato sekan-akan ia tidak memiliki apapun kecuali yang melekat di badannya., Options: 0) Laki-laki itu berpidato dengan sangat percaya diri. 1) Laki-laki itu berpidato dengan sangat  tidak percaya diri."
"Saat aku bersamanya, rasanya begitu nyaman.","Saat aku bersamanya, rasanya begitu tidak nyaman.",0,"Saat aku bersamanya, rasanya seperti dipeluk ibu.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat aku bersamanya, rasanya seperti dipeluk ibu., Options: 0) Saat aku bersamanya, rasanya begitu nyaman. 1) Saat aku bersamanya, rasanya begitu tidak nyaman."
"Saat aku bersamanya, rasanya begitu nyaman.","Saat aku bersamanya, rasanya begitu tidak nyaman.",1,"Saat aku bersamanya, rasanya seperti memakai kain yang rombeng.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat aku bersamanya, rasanya seperti memakai kain yang rombeng., Options: 0) Saat aku bersamanya, rasanya begitu nyaman. 1) Saat aku bersamanya, rasanya begitu tidak nyaman."
"Saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus.","Saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek.",0,"Saat bernyanyi, suaranya terdengar seperti kicauan burung di pagi hari.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat bernyanyi, suaranya terdengar seperti kicauan burung di pagi hari., Options: 0) Saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus. 1) Saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek."
"Saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus.","Saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek.",1,"Saat bernyanyi, suaranya terdengar seperti alarm bangun tidur di pagi hari.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat bernyanyi, suaranya terdengar seperti alarm bangun tidur di pagi hari., Options: 0) Saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus. 1) Saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek."
Dia menatapku dengan jijik.,Dia menatapku dengan kagum.,0,Dia menatapku seakan-akan aku belum mandi tiga hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menatapku seakan-akan aku belum mandi tiga hari., Options: 0) Dia menatapku dengan jijik. 1) Dia menatapku dengan kagum."
Dia menatapku dengan jijik.,Dia menatapku dengan kagum.,1,Dia menatapku seakan-akan aku pemenang Putri Indonesia.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menatapku seakan-akan aku pemenang Putri Indonesia., Options: 0) Dia menatapku dengan jijik. 1) Dia menatapku dengan kagum."
Dia memasak dengan jumlah sangat banyak.,Dia memasak dengan jumlah sangat sedikit.,0,Dia memasak seperti akan memberi makan satu RT.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memasak seperti akan memberi makan satu RT., Options: 0) Dia memasak dengan jumlah sangat banyak. 1) Dia memasak dengan jumlah sangat sedikit."
Dia memasak dengan jumlah sangat banyak.,Dia memasak dengan jumlah sangat sedikit.,1,Dia memasak seperti sedang diet ketat.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memasak seperti sedang diet ketat., Options: 0) Dia memasak dengan jumlah sangat banyak. 1) Dia memasak dengan jumlah sangat sedikit."
"Bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa tidak enak.",0,"Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef .","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef ., Options: 0) Bagiku, makanan ini terasa lezat. 1) Bagiku, makanan ini terasa tidak enak."
"Bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa tidak enak.",1,"Bagiku, makanan ini terasa seperti dibuat oleh anak SD yang baru pertama kali ke dapur .","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagiku, makanan ini terasa seperti dibuat oleh anak SD yang baru pertama kali ke dapur ., Options: 0) Bagiku, makanan ini terasa lezat. 1) Bagiku, makanan ini terasa tidak enak."
Dia berbadan gendut.,Dia berbadan kurus.,0,"Dari badannya, dia terlihat seperti pemain sumo.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dari badannya, dia terlihat seperti pemain sumo., Options: 0) Dia berbadan gendut. 1) Dia berbadan kurus."
Dia berbadan gendut.,Dia berbadan kurus.,1,"Dari badannya, dia terlihat seperti kontentan America's Next Top Model.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dari badannya, dia terlihat seperti kontentan America's Next Top Model., Options: 0) Dia berbadan gendut. 1) Dia berbadan kurus."
Dia menghadapi masalah dengan sikap yang labil.,Dia menghadapi masalah dengan sikap yang bijak.,0,Dia menghadapi masalah seperti remaja yang sedang puber.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menghadapi masalah seperti remaja yang sedang puber., Options: 0) Dia menghadapi masalah dengan sikap yang labil. 1) Dia menghadapi masalah dengan sikap yang bijak."
Dia menghadapi masalah dengan sikap yang labil.,Dia menghadapi masalah dengan sikap yang bijak.,1,Dia menghadapi masalah seperti psikolog yang tersertifikasi.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menghadapi masalah seperti psikolog yang tersertifikasi., Options: 0) Dia menghadapi masalah dengan sikap yang labil. 1) Dia menghadapi masalah dengan sikap yang bijak."
"Saat aku berjabat tangan dengannya, tangannya terasa halus.","Saat aku berjabat tangan dengannya, tangannya terasa kasar.",0,"Saat aku berjabat tangan dengannya, rasanya seperti dia tidak pernah bekerja sekalipun dalam hidupnya.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat aku berjabat tangan dengannya, rasanya seperti dia tidak pernah bekerja sekalipun dalam hidupnya., Options: 0) Saat aku berjabat tangan dengannya, tangannya terasa halus. 1) Saat aku berjabat tangan dengannya, tangannya terasa kasar."
"Saat aku berjabat tangan dengannya, tangannya terasa halus.","Saat aku berjabat tangan dengannya, tangannya terasa kasar.",1,"Saat aku berjabat tangan dengannya, rasanya seperti dia bekerja sebagai tukang cuci.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat aku berjabat tangan dengannya, rasanya seperti dia bekerja sebagai tukang cuci., Options: 0) Saat aku berjabat tangan dengannya, tangannya terasa halus. 1) Saat aku berjabat tangan dengannya, tangannya terasa kasar."
Pipinya gembul.,Pipinya peyot.,0,Pipinya seperti bakpao.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pipinya seperti bakpao., Options: 0) Pipinya gembul. 1) Pipinya peyot."
Pipinya gembul.,Pipinya peyot.,1,Pipinya seperti ban kempes.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pipinya seperti ban kempes., Options: 0) Pipinya gembul. 1) Pipinya peyot."
Hasil pertandingan hari ini membuatku merasa kecewa.,Hasil pertandingan hari ini membuatku merasa puas.,0,Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan., Options: 0) Hasil pertandingan hari ini membuatku merasa kecewa. 1) Hasil pertandingan hari ini membuatku merasa puas."
Hasil pertandingan hari ini membuatku merasa kecewa.,Hasil pertandingan hari ini membuatku merasa puas.,1,Hasil pertandingan hari ini membuatku merasa seperti baru saja menyelesaikan lari marathon pertamaku.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hasil pertandingan hari ini membuatku merasa seperti baru saja menyelesaikan lari marathon pertamaku., Options: 0) Hasil pertandingan hari ini membuatku merasa kecewa. 1) Hasil pertandingan hari ini membuatku merasa puas."
Dia berjalan dengan kaku.,Dia berjalan dengan luwes.,0,Dia berjalan seperti robot.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia berjalan seperti robot., Options: 0) Dia berjalan dengan kaku. 1) Dia berjalan dengan luwes."
Dia berjalan dengan kaku.,Dia berjalan dengan luwes.,1,Dia berjalan seperti model.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia berjalan seperti model., Options: 0) Dia berjalan dengan kaku. 1) Dia berjalan dengan luwes."
Dia menangkat galon dengan mudah.,Dia menangkat galon dengan susah payah.,0,Dia menangkat galon seperti binaragawan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menangkat galon seperti binaragawan., Options: 0) Dia menangkat galon dengan mudah. 1) Dia menangkat galon dengan susah payah."
Dia menangkat galon dengan mudah.,Dia menangkat galon dengan susah payah.,1,Dia menangkat galon seperti sedang sakit tipes.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menangkat galon seperti sedang sakit tipes., Options: 0) Dia menangkat galon dengan mudah. 1) Dia menangkat galon dengan susah payah."
Kata-katanya membuatku merasa tenang.,Kata-katanya membuatku merasa gelisah.,0,Kata-katanya membuatku merasa seperti sedang berlibur di Bali.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kata-katanya membuatku merasa seperti sedang berlibur di Bali., Options: 0) Kata-katanya membuatku merasa tenang. 1) Kata-katanya membuatku merasa gelisah."
Kata-katanya membuatku merasa tenang.,Kata-katanya membuatku merasa gelisah.,1,Kata-katanya membuatku merasa seperti diberi setumpuk tugas yang harus selesai besok.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kata-katanya membuatku merasa seperti diberi setumpuk tugas yang harus selesai besok., Options: 0) Kata-katanya membuatku merasa tenang. 1) Kata-katanya membuatku merasa gelisah."
Dia terlihat bahagia.,Dia terlihat murung.,0,"Dari ekspresinya, dia terlihat seperti orang yang sedang jatuh cinta.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dari ekspresinya, dia terlihat seperti orang yang sedang jatuh cinta., Options: 0) Dia terlihat bahagia. 1) Dia terlihat murung."
Dia terlihat bahagia.,Dia terlihat murung.,1,"Dari ekspresinya, dia terlihat seperti sedang terlilit hutang.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dari ekspresinya, dia terlihat seperti sedang terlilit hutang., Options: 0) Dia terlihat bahagia. 1) Dia terlihat murung."
Alas sepatu ini terasa empuk.,Alas sepatu ini terasa keras.,0,Alas sepatu ini terasa seperti bantal bulu angsa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alas sepatu ini terasa seperti bantal bulu angsa., Options: 0) Alas sepatu ini terasa empuk. 1) Alas sepatu ini terasa keras."
Alas sepatu ini terasa empuk.,Alas sepatu ini terasa keras.,1,Alas sepatu ini terasa seperti kerikil di dasar sungai.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alas sepatu ini terasa seperti kerikil di dasar sungai., Options: 0) Alas sepatu ini terasa empuk. 1) Alas sepatu ini terasa keras."
Kondisi di dalam rumahnya tertata rapi.,Kondisi di dalam rumahnya berantakan.,0,Kondisi di dalam rumahnya seperti showroom di IKEA.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kondisi di dalam rumahnya seperti showroom di IKEA., Options: 0) Kondisi di dalam rumahnya tertata rapi. 1) Kondisi di dalam rumahnya berantakan."
Kondisi di dalam rumahnya tertata rapi.,Kondisi di dalam rumahnya berantakan.,1,Kondisi di dalam rumahnya seperti habis terkena gempa 7 skala Richter.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kondisi di dalam rumahnya seperti habis terkena gempa 7 skala Richter., Options: 0) Kondisi di dalam rumahnya tertata rapi. 1) Kondisi di dalam rumahnya berantakan."
Dia makan malam dengan tidak berselera.,Dia makan malam dengan lahap.,0,Dia makan malam seperti orang yang sedang sariawan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia makan malam seperti orang yang sedang sariawan., Options: 0) Dia makan malam dengan tidak berselera. 1) Dia makan malam dengan lahap."
Dia makan malam dengan tidak berselera.,Dia makan malam dengan lahap.,1,Dia makan malam seperti orang yang sedang berbuka puasa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia makan malam seperti orang yang sedang berbuka puasa., Options: 0) Dia makan malam dengan tidak berselera. 1) Dia makan malam dengan lahap."
Dia memanggilku dengan berteriak.,Dia memanggilku dengan berbisik.,0,Dia memanggilku seperti seorang ibu yang mencari anaknya di keramaian.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memanggilku seperti seorang ibu yang mencari anaknya di keramaian., Options: 0) Dia memanggilku dengan berteriak. 1) Dia memanggilku dengan berbisik."
Dia memanggilku dengan berteriak.,Dia memanggilku dengan berbisik.,1,Dia memanggilku seperti pencuri yang takut ketahuan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memanggilku seperti pencuri yang takut ketahuan., Options: 0) Dia memanggilku dengan berteriak. 1) Dia memanggilku dengan berbisik."
Dia memasak dengan sungguh-sungguh.,Dia memasak dengan asal.,0,Dia memasak seperti sedang mengikuti kompetisi Masterchef.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memasak seperti sedang mengikuti kompetisi Masterchef., Options: 0) Dia memasak dengan sungguh-sungguh. 1) Dia memasak dengan asal."
Dia memasak dengan sungguh-sungguh.,Dia memasak dengan asal.,1,Dia memasak seperti anak kos yang malas.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia memasak seperti anak kos yang malas., Options: 0) Dia memasak dengan sungguh-sungguh. 1) Dia memasak dengan asal."
Aku merasa takut saat berada di ketinggian.,Aku merasa berani saat berada di ketinggian.,0,Aku merasa seperti anak kecil yang baru memecahkan vas bunga kesayangan ibunya saat berada di ketinggian.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aku merasa seperti anak kecil yang baru memecahkan vas bunga kesayangan ibunya saat berada di ketinggian., Options: 0) Aku merasa takut saat berada di ketinggian. 1) Aku merasa berani saat berada di ketinggian."
Aku merasa takut saat berada di ketinggian.,Aku merasa berani saat berada di ketinggian.,1,Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian., Options: 0) Aku merasa takut saat berada di ketinggian. 1) Aku merasa berani saat berada di ketinggian."
Hidungnya pesek.,Hidungnya mancung.,0,Hidungnya seperti buah ceri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hidungnya seperti buah ceri., Options: 0) Hidungnya pesek. 1) Hidungnya mancung."
Hidungnya pesek.,Hidungnya mancung.,1,Hidungnya seperti paruh burung.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hidungnya seperti paruh burung., Options: 0) Hidungnya pesek. 1) Hidungnya mancung."
Warna kulitnya sawo matang.,Warna kulitnya putih gading.,0,Warna kulitnya seperti kopi susu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Warna kulitnya seperti kopi susu., Options: 0) Warna kulitnya sawo matang. 1) Warna kulitnya putih gading."
Warna kulitnya sawo matang.,Warna kulitnya putih gading.,1,Warna kulitnya seperti salju.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Warna kulitnya seperti salju., Options: 0) Warna kulitnya sawo matang. 1) Warna kulitnya putih gading."
Dia menari dengan luwes.,Dia menari dengan kaku.,0,Dia menari seperti finalis Indonesia's Got Talent.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menari seperti finalis Indonesia's Got Talent., Options: 0) Dia menari dengan luwes. 1) Dia menari dengan kaku."
Dia menari dengan luwes.,Dia menari dengan kaku.,1,Dia menari seperti bapak-bapak yang punya asam urat.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menari seperti bapak-bapak yang punya asam urat., Options: 0) Dia menari dengan luwes. 1) Dia menari dengan kaku."
Dia bermain bulutangkis dengan hebat.,Dia bermain bulutangkis dengan payah.,0,Dia bermain bulutangkis seperti atlet Olimpiade.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia bermain bulutangkis seperti atlet Olimpiade., Options: 0) Dia bermain bulutangkis dengan hebat. 1) Dia bermain bulutangkis dengan payah."
Dia bermain bulutangkis dengan hebat.,Dia bermain bulutangkis dengan payah.,1,Dia bermain bulutangkis seperti orang mabuk.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia bermain bulutangkis seperti orang mabuk., Options: 0) Dia bermain bulutangkis dengan hebat. 1) Dia bermain bulutangkis dengan payah."
Dia berpakaian rapi.,Dia berpakaian seadanya.,0,Dia berpakaian seperti akan bertemu pujaan hatinya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia berpakaian seperti akan bertemu pujaan hatinya., Options: 0) Dia berpakaian rapi. 1) Dia berpakaian seadanya."
Dia berpakaian rapi.,Dia berpakaian seadanya.,1,Dia berpakaian seperti mau beli ikan ke pasar.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia berpakaian seperti mau beli ikan ke pasar., Options: 0) Dia berpakaian rapi. 1) Dia berpakaian seadanya."
Dia bekerja dengan upaya yang maksimal.,Dia bekerja dengan asal-asalan.,0,Dia bekerja seakan-akan dia digaji ratusan juta per bulan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia bekerja seakan-akan dia digaji ratusan juta per bulan., Options: 0) Dia bekerja dengan upaya yang maksimal. 1) Dia bekerja dengan asal-asalan."
Dia bekerja dengan upaya yang maksimal.,Dia bekerja dengan asal-asalan.,1,Dia bekerja seakan-akan dia mahasiswa magang yang tidak ingin lulus.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia bekerja seakan-akan dia mahasiswa magang yang tidak ingin lulus., Options: 0) Dia bekerja dengan upaya yang maksimal. 1) Dia bekerja dengan asal-asalan."
Tasnya terlihat mahal.,Tasnya terlihat murah.,0,"Dari tas yang dipakainya, dia terlihat seperti istri pejabat.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dari tas yang dipakainya, dia terlihat seperti istri pejabat., Options: 0) Tasnya terlihat mahal. 1) Tasnya terlihat murah."
